


SlowSort

n;Time (ms);Steps;Swaps

10;0;100;30
1000;20;1000100;241914
10000;1661;101000100;18501417


InsertionSort

n;Time (ms);Steps;Swaps

10;0;45;26
1000;10;499545;252547
10000;1061;50494545;25102488


MergeSort

n;Time (ms);Steps;Swaps

10;0;23;28
1000;0;8514;9506
10000;10;127396;137757
100000;71;1643911;1751321
1000000;1290;20146601;21186451


QuickSort

n;Time (ms);Steps;Swaps

10;0;9;8
1000;0;2589;2382
10000;10;35591;33671
100000;41;470724;459995
1000000;810;6324182;6294030
